"subj_idx","TIR_friend_match","TIR_friend_mismatch","TIR_self_match","TIR_self_mismatch","TIR_stranger_match","TIR_stranger_mismatch","TR_friend_match","TR_friend_mismatch","TR_self_match","TR_self_mismatch","TR_stranger_match","TR_stranger_mismatch"
1,705.3636363636364,724.0298507462686,606.6805555555555,665.5846153846154,672.1857142857143,713.6714285714286,829.75,826.6949152542373,627.3943661971831,761,831.4761904761905,818.0588235294117
2,849.8103448275862,889.40625,853.5625,865.6153846153846,831.516129032258,857.2461538461539,807.6271186440678,869.8421052631579,804.2222222222222,889.875,815.4285714285714,833.7285714285714
3,750.4927536231884,860.1594202898551,784.6212121212121,897.3076923076923,696.0704225352113,803.2463768115942,863.9850746268656,942.4909090909091,781.0615384615385,935.5438596491229,856,902.6206896551724
4,749.6363636363636,847.3770491803278,694.4782608695652,825.65625,785.9333333333333,790.5441176470588,835.6842105263158,926.8644067796611,701.1492537313433,889.1967213114754,773.6875,859.4126984126984
5,717.3492063492064,792.1694915254237,689.4444444444445,790.0491803278688,756.953125,826.271186440678,823.3392857142857,943.7551020408164,724.8615384615384,992.7380952380952,804.9215686274509,875.8363636363637
8,706.9629629629629,746.0895522388059,733,765.4142857142857,826.4590163934427,747.1194029850747,802.3684210526316,895.9130434782609,941.5471698113207,941.8030303030303,874.1147540983607,960.1212121212121
9,774.5428571428571,856.9859154929577,849.4925373134329,871.5967741935484,819.7424242424242,907.7272727272727,776.1739130434783,980.8571428571429,829.8169014084507,929.7205882352941,898.5882352941177,1001.5
10,695.3714285714286,801.3650793650794,680.4492753623189,686.5416666666666,733.8412698412699,826.5230769230769,776.6666666666666,947,741.6197183098592,867.2686567164179,841.1111111111111,954.75
11,807.515625,858.943661971831,708.4411764705883,824.1014492753624,769.276923076923,793.7361111111111,795.6865671641791,880.5797101449275,828.5925925925926,888.2903225806451,890.8064516129032,905.24
12,655.21875,708.3484848484849,591.5454545454545,701.25,697.6461538461539,714.939393939394,629.4411764705883,672.560606060606,609.9718309859155,708.7,663.2741935483871,677.1764705882352
13,667.8666666666667,686.8088235294117,568.1571428571428,703.0769230769231,626.7272727272727,689.7424242424242,671.4027777777778,780.7647058823529,669.2352941176471,767.7627118644068,748.2028985507246,730.0689655172414
14,620.6779661016949,673.3188405797101,578.5593220338983,603.1267605633802,599.6923076923077,652.2428571428571,724.1904761904761,764.1587301587301,667.7183098591549,719.9558823529412,725.3548387096774,746.3478260869565
15,707.1818181818181,859.6029411764706,750.8545454545455,946.0166666666667,831.0862068965517,951.2615384615384,830.6923076923077,960.2258064516129,855.0338983050848,937.7843137254902,780.439393939394,913.9464285714286
16,711.3387096774194,804.2258064516129,597.0555555555555,639.7323943661971,699.3888888888889,744.1639344262295,730.4142857142857,809.96875,636.7205882352941,788.5692307692308,785.8405797101449,817.8571428571429
17,675.8153846153846,733.2794117647059,638.936507936508,684.5352112676056,655.4516129032259,711.6571428571428,708.3432835820895,822.0526315789474,725.7076923076924,847.453125,773.7377049180328,831.3768115942029
18,583,691.7536231884058,574.9428571428572,695.3030303030303,646.078125,650.4366197183099,714.796875,823.8070175438596,665.8529411764706,826.1076923076923,868.025641025641,810.35
19,785.9661016949152,836.8253968253969,728.7647058823529,825.1029411764706,799.8412698412699,844.9152542372881,807.5714285714286,935.7777777777778,787.3709677419355,843.85,830.5882352941177,897.0153846153846
20,645.4461538461538,708.1470588235294,683.4285714285714,688.4411764705883,615.3015873015873,666.1594202898551,720.3934426229508,767.4193548387096,696.5238095238095,700.7611940298508,717.1818181818181,717.0285714285715
21,828.955223880597,985.360655737705,919.5645161290323,1060.8297872340424,1108.3333333333333,1120.0980392156862,844.9152542372881,908.4745762711865,743.776119402985,963.2321428571429,922.2391304347826,968.85
22,697.6029411764706,733.1969696969697,598.2857142857143,683.9848484848485,673.375,693.5538461538462,703.179104477612,802.5142857142857,696,768.7727272727273,808.1833333333333,765.5820895522388
23,667.2535211267606,728.6111111111111,714.2463768115942,746.0579710144928,714.820895522388,733.7352941176471,759.7575757575758,824.1269841269841,711.3088235294117,773.9571428571429,792.8852459016393,852.327868852459
24,600.7941176470588,646.5645161290323,552.9285714285714,633.2857142857143,571.8985507246376,653.0461538461539,599.9076923076923,725.6031746031746,714.1612903225806,738.560606060606,700.2166666666667,703.8
25,698.016129032258,719.0615384615385,569.2608695652174,705.776119402985,546.2608695652174,682.4328358208955,585.25,735.0181818181818,776.0677966101695,724.2,684.6029411764706,732.6190476190476
26,742.6417910447761,863.2394366197183,775.0571428571428,885.9285714285714,834.5737704918033,886.5522388059702,755.5352112676056,874.7746478873239,776.3529411764706,835.4328358208955,861.8985507246376,907.3529411764706
27,524.8571428571429,685.8695652173913,562.3768115942029,647.9705882352941,589.8142857142857,667.1159420289855,662.0461538461539,731.8615384615384,628.2307692307693,770.109375,666.1176470588235,734.3846153846154
28,706.0895522388059,762.5072463768116,690.3802816901408,740.5285714285715,641.8732394366198,745.1449275362319,729.2714285714286,852.9264705882352,835.327868852459,913.8714285714286,855.344262295082,917.4117647058823
29,694.6619718309859,745.830985915493,649.7857142857143,740.3333333333334,669.7205882352941,775.327868852459,788.9718309859155,863.2833333333333,651.8055555555555,866.9230769230769,828.304347826087,874.1515151515151
30,694.4852941176471,700.8115942028985,646.7313432835821,684.2676056338029,684.7941176470588,737.9152542372881,712.5217391304348,758.6865671641791,602.2428571428571,727.8461538461538,717.123076923077,726.6716417910447
31,663.6470588235294,747.3768115942029,653.9538461538461,721.8382352941177,685.4852941176471,701.112676056338,711.6875,830.2307692307693,679.1549295774648,844.4444444444445,812.09375,817.7746478873239
32,682.42,751.2727272727273,664.5166666666667,682.3725490196078,612.2033898305085,690.9433962264151,601.6619718309859,848.6170212765958,893.94,839.9795918367347,780.0185185185185,850.7843137254902
33,785.2,910.2666666666667,806.5714285714286,864.2258064516129,698.6764705882352,845.4647887323944,882.0727272727273,965.1698113207547,731.5909090909091,953.4807692307693,899.2444444444444,943
34,665,754.030303030303,677.887323943662,772.8550724637681,636.3333333333334,671.5277777777778,687,864.0307692307692,781.453125,788.375,694.8307692307692,775.2714285714286
35,657.2830188679245,629.5,600.0923076923077,646.3913043478261,649.7301587301587,680.876923076923,698.2063492063492,750.21875,663.75,730.8636363636364,679.4098360655738,765.5593220338983
36,791.0769230769231,856.2089552238806,936.5238095238095,834.4912280701755,831.7741935483871,796.9558823529412,941.6071428571429,962.719298245614,912.9649122807018,970.5686274509804,864.3018867924528,971.1346153846154
37,608.1470588235294,676.6231884057971,607.375,689.2878787878788,585.6774193548387,657.3387096774194,660.5,674.4705882352941,585.6307692307693,656.3492063492064,608.65625,633.0535714285714
38,675.2537313432836,743.1428571428571,618.5217391304348,730.6307692307693,660.4444444444445,747.3636363636364,658.6619718309859,843.1147540983607,843.5272727272727,891.0833333333334,819.2786885245902,886.5076923076923
39,748.8181818181819,834.5846153846154,752.5079365079365,805.1363636363636,805.9636363636364,820.2028985507246,786.5074626865671,883.5076923076923,735.875,860.1451612903226,845.9821428571429,912.1060606060606
40,606.9090909090909,756.59375,610.3181818181819,681.8714285714286,710.719298245614,721.8939393939394,748.4461538461538,828.7183098591549,582.9411764705883,769.65,677.609375,736.0895522388059
41,540.6923076923077,639.6440677966102,586.9032258064516,650.948275862069,545.0983606557377,669.0909090909091,640.1864406779661,742.4727272727273,617.5882352941177,757.25,752.7213114754098,737.9122807017544
